0  14  2.53320e+06  0.00000e+00  1.39508e+02 -1.00000e+04  0.00000e+00 -9.31017e+03
255  13  6.76022e+01  0.00000e+00 -4.38418e+03 -4.39813e+03  1.23437e+03  7.64471e+09
256   8  3.49294e+01  0.00000e+00 -4.38434e+03 -4.39842e+03  1.23443e+03  7.67469e+09
257  12  7.48822e+01  0.00000e+00 -4.38519e+03 -4.39790e+03  1.23444e+03  7.70467e+09
258  11  8.29710e+01  0.00000e+00 -4.38161e+03 -4.39350e+03  1.24384e+03  7.73464e+09
259  10  6.13954e+01  0.00000e+00 -4.38383e+03 -4.39824e+03  1.23440e+03  7.76462e+09
260  10  2.66733e+01  0.00000e+00 -4.38384e+03 -4.38449e+03  1.25222e+03  7.79460e+09
261  11  8.16043e+01  0.00000e+00 -4.38445e+03 -4.39874e+03  1.23439e+03  7.82458e+09
262  12  6.25297e+01  0.00000e+00 -4.38670e+03 -4.40421e+03  1.24943e+03  7.85456e+09
263  11  7.02637e+01  0.00000e+00 -4.38526e+03 -4.39753e+03  1.23442e+03  7.88454e+09
264  13  1.04160e+02  0.00000e+00 -4.38424e+03 -4.40069e+03  1.23438e+03  7.91452e+09
265  11  6.02025e+01  0.00000e+00 -4.38531e+03 -4.39979e+03  1.23494e+03  7.94450e+09
266  10  4.64090e+01  0.00000e+00 -4.38554e+03 -4.39659e+03  1.23444e+03  7.97448e+09
267  12  7.08005e+01  0.00000e+00 -4.38444e+03 -4.39884e+03  1.23438e+03  8.00446e+09
268   9  4.90347e+01  0.00000e+00 -4.38458e+03 -4.39820e+03  1.23439e+03  8.03444e+09
269  10  2.43502e+01  0.00000e+00 -4.38266e+03 -4.38967e+03  1.24652e+03  8.06442e+09
270  10  3.37600e+01  0.00000e+00 -4.38442e+03 -4.39823e+03  1.23438e+03  8.09440e+09
271  12  8.49857e+01  0.00000e+00 -4.38273e+03 -4.39544e+03  1.23773e+03  8.12438e+09
272  10  4.18310e+01  0.00000e+00 -4.38437e+03 -4.39835e+03  1.23442e+03  8.15435e+09
273   9  4.37914e+01  0.00000e+00 -4.38338e+03 -4.39498e+03  1.24793e+03  8.18433e+09
274  12  5.67491e+01  0.00000e+00 -4.38454e+03 -4.39879e+03  1.23440e+03  8.21431e+09
275  12  9.35678e+01  0.00000e+00 -4.38449e+03 -4.39872e+03  1.23443e+03  8.24429e+09
276  12  5.74260e+01  0.00000e+00 -4.38389e+03 -4.39864e+03  1.23442e+03  8.27427e+09
277   9  4.48818e+01  0.00000e+00 -4.38462e+03 -4.39720e+03  1.23440e+03  8.30425e+09
278  10  3.94230e+01  0.00000e+00 -4.38436e+03 -4.39173e+03  1.23570e+03  8.33423e+09
279  12  1.45613e+02  0.00000e+00 -4.38398e+03 -4.40212e+03  1.23443e+03  8.36421e+09
280  11  1.08494e+02  0.00000e+00 -4.38420e+03 -4.39887e+03  1.23444e+03  8.39419e+09
281  12  4.31819e+01  0.00000e+00 -4.38208e+03 -4.39307e+03  1.24137e+03  8.42417e+09
282  11  9.98273e+01  0.00000e+00 -4.38500e+03 -4.40007e+03  1.23444e+03  8.45415e+09
283   7  2.00741e+01  0.00000e+00 -4.38537e+03 -4.39190e+03  1.25036e+03  8.48413e+09
284  10  4.03745e+01  0.00000e+00 -4.38490e+03 -4.39804e+03  1.23443e+03  8.51411e+09
285  11  6.27380e+01  0.00000e+00 -4.38389e+03 -4.39898e+03  1.23442e+03  8.54408e+09
286   9  6.58103e+01  0.00000e+00 -4.38143e+03 -4.39177e+03  1.27235e+03  8.57406e+09
287  12  8.64565e+01  0.00000e+00 -4.38492e+03 -4.39832e+03  1.23446e+03  8.60404e+09
288  10  2.94803e+01  0.00000e+00 -4.38575e+03 -4.39766e+03  1.23443e+03  8.63402e+09
289   9  3.72953e+01  0.00000e+00 -4.38303e+03 -4.39126e+03  1.27419e+03  8.66400e+09
290  12  9.33442e+01  0.00000e+00 -4.38433e+03 -4.39984e+03  1.23445e+03  8.69398e+09
291   9  2.88239e+01  0.00000e+00 -4.38479e+03 -4.39889e+03  1.23445e+03  8.72396e+09
292  10  9.47787e+01  0.00000e+00 -4.38452e+03 -4.39897e+03  1.23446e+03  8.75394e+09
293   9  4.70029e+01  0.00000e+00 -4.38497e+03 -4.39828e+03  1.23445e+03  8.78392e+09
294   9  2.64581e+01  0.00000e+00 -4.38509e+03 -4.39722e+03  1.27918e+03  8.81390e+09
295  10  7.27521e+01  0.00000e+00 -4.38380e+03 -4.40046e+03  1.23445e+03  8.84388e+09
296  11  2.60571e+01  0.00000e+00 -4.38611e+03 -4.39998e+03  1.23474e+03  8.87386e+09
297  10  2.64256e+01  0.00000e+00 -4.38527e+03 -4.39842e+03  1.23447e+03  8.90384e+09
298  10  1.79225e+01  0.00000e+00 -4.38259e+03 -4.39183e+03  1.28518e+03  8.93381e+09
299  11  4.52450e+01  0.00000e+00 -4.38513e+03 -4.39832e+03  1.23442e+03  8.96379e+09
300  11  5.35327e+01  0.00000e+00 -4.38955e+03 -4.41200e+03  1.23486e+03  8.99377e+09
301  12  7.17558e+01  0.00000e+00 -4.38534e+03 -4.40202e+03  1.23448e+03  9.02375e+09
302  11  9.13151e+01  0.00000e+00 -4.38598e+03 -4.39810e+03  1.23445e+03  9.05373e+09
303  10  7.09086e+01  0.00000e+00 -4.38441e+03 -4.40103e+03  1.25767e+03  9.08371e+09
304   7  1.09597e+01  0.00000e+00 -4.38855e+03 -4.39888e+03  1.09222e+03  9.11369e+09
305  11  9.16176e+01  0.00000e+00 -4.38411e+03 -4.39972e+03  1.23448e+03  9.14367e+09
306  11  5.97755e+01  0.00000e+00 -4.38433e+03 -4.39839e+03  1.23447e+03  9.17365e+09
307  10  3.63530e+01  0.00000e+00 -4.38540e+03 -4.39746e+03  1.23445e+03  9.20363e+09
308  12  4.00782e+01  0.00000e+00 -4.38458e+03 -4.39856e+03  1.23447e+03  9.23361e+09
309  11  7.84160e+01  0.00000e+00 -4.38431e+03 -4.39947e+03  1.23446e+03  9.26359e+09
310  13  1.06312e+02  0.00000e+00 -4.38463e+03 -4.39865e+03  1.23447e+03  9.29357e+09
311  11  6.75816e+01  0.00000e+00 -4.38483e+03 -4.39660e+03  1.25239e+03  9.32355e+09
312  10  2.77516e+01  0.00000e+00 -4.38251e+03 -4.39297e+03  1.29025e+03  9.35352e+09
313  11  7.47677e+01  0.00000e+00 -4.38361e+03 -4.38976e+03  1.25996e+03  9.38350e+09
314  11  1.93803e+01  0.00000e+00 -4.38343e+03 -4.38987e+03  1.27020e+03  9.41348e+09
315  11  3.81673e+01  0.00000e+00 -4.38248e+03 -4.39482e+03  1.29133e+03  9.44346e+09
316  10  2.31644e+01  0.00000e+00 -4.38464e+03 -4.39970e+03  1.27045e+03  9.47344e+09
317   9  1.70857e+01  0.00000e+00 -4.38489e+03 -4.38937e+03  1.25342e+03  9.50342e+09
318  10  8.55651e+01  0.00000e+00 -4.38483e+03 -4.39834e+03  1.23448e+03  9.53340e+09
319  11  3.43965e+01  0.00000e+00 -4.38546e+03 -4.39820e+03  1.23444e+03  9.56338e+09
320  11  8.09579e+01  0.00000e+00 -4.38448e+03 -4.39902e+03  1.23444e+03  9.59336e+09
321  10  6.03397e+01  0.00000e+00 -4.38730e+03 -4.39810e+03  1.23457e+03  9.62334e+09
322  11  5.26641e+01  0.00000e+00 -4.38429e+03 -4.39794e+03  1.23446e+03  9.65332e+09
323  10  8.96994e+01  0.00000e+00 -4.38339e+03 -4.40074e+03  1.23445e+03  9.68330e+09
324   9  3.73551e+01  0.00000e+00 -4.38559e+03 -4.39810e+03  1.23446e+03  9.71328e+09
325  10  8.20200e+01  0.00000e+00 -4.38494e+03 -4.39847e+03  1.23447e+03  9.74325e+09
326  10  5.91072e+01  0.00000e+00 -4.38562e+03 -4.39941e+03  1.23460e+03  9.77323e+09
327  11  2.41095e+01  0.00000e+00 -4.38338e+03 -4.38915e+03  1.27314e+03  9.80321e+09
328  10  1.64777e+01  0.00000e+00 -4.38494e+03 -4.39737e+03  1.27131e+03  9.83319e+09
329  10  6.12479e+01  0.00000e+00 -4.38329e+03 -4.39910e+03  1.23446e+03  9.86317e+09
330  12  6.73613e+01  0.00000e+00 -4.38556e+03 -4.40011e+03  1.23447e+03  9.89315e+09
331  10  7.15550e+01  0.00000e+00 -4.38397e+03 -4.40016e+03  1.23446e+03  9.92313e+09
332  13  9.13983e+01  0.00000e+00 -4.38400e+03 -4.40083e+03  1.23447e+03  9.95311e+09
333   8  7.62360e+01  0.00000e+00 -4.38226e+03 -4.38945e+03  1.28211e+03  9.98309e+09
334  10  5.49237e+01  0.00000e+00 -4.38767e+03 -4.40905e+03  1.23501e+03  1.00131e+10
335  12  5.74634e+01  0.00000e+00 -4.38493e+03 -4.39786e+03  1.23447e+03  1.00430e+10
336  10  4.29976e+01  0.00000e+00 -4.38393e+03 -4.39816e+03  1.23448e+03  1.00730e+10
337  10  2.85358e+01  0.00000e+00 -4.38132e+03 -4.39481e+03  1.29351e+03  1.01030e+10
338  12  7.29443e+01  0.00000e+00 -4.38637e+03 -4.39857e+03  1.23455e+03  1.01330e+10
339  10  3.55937e+01  0.00000e+00 -4.39359e+03 -4.41328e+03  1.24207e+03  1.01630e+10
340   9  4.79691e+01  0.00000e+00 -4.38740e+03 -4.39967e+03  1.23724e+03  1.01929e+10
341  10  2.88703e+01  0.00000e+00 -4.38296e+03 -4.39819e+03  1.23447e+03  1.02229e+10
342  10  5.62972e+01  0.00000e+00 -4.38253e+03 -4.39579e+03  1.26078e+03  1.02529e+10
343  12  5.67680e+01  0.00000e+00 -4.38499e+03 -4.40070e+03  1.23451e+03  1.02829e+10
344  13  5.14417e+01  0.00000e+00 -4.38445e+03 -4.40055e+03  1.23457e+03  1.03129e+10
345  10  7.59999e+01  0.00000e+00 -4.38405e+03 -4.39946e+03  1.23451e+03  1.03428e+10
346   9  2.39327e+01  0.00000e+00 -4.38473e+03 -4.39588e+03  1.30172e+03  1.03728e+10
347  12  4.81024e+01  0.00000e+00 -4.38515e+03 -4.39867e+03  1.23454e+03  1.04028e+10
348  10  4.37145e+01  0.00000e+00 -4.38493e+03 -4.39774e+03  1.23449e+03  1.04328e+10
349  12  4.17486e+01  0.00000e+00 -4.38555e+03 -4.39790e+03  1.23454e+03  1.04628e+10
350  10  4.47229e+01  0.00000e+00 -4.38528e+03 -4.39921e+03  1.23454e+03  1.04927e+10
351  10  3.19657e+01  0.00000e+00 -4.38610e+03 -4.40236e+03  1.26329e+03  1.05227e+10
352  11  4.16190e+01  0.00000e+00 -4.38554e+03 -4.39876e+03  1.23453e+03  1.05527e+10
353  11  7.35654e+01  0.00000e+00 -4.38496e+03 -4.39954e+03  1.23449e+03  1.05827e+10
354  10  2.67478e+01  0.00000e+00 -4.38324e+03 -4.39183e+03  1.26557e+03  1.06127e+10
355  10  7.38009e+01  0.00000e+00 -4.38441e+03 -4.39940e+03  1.23452e+03  1.06426e+10
356  11  5.07812e+01  0.00000e+00 -4.38395e+03 -4.39890e+03  1.23451e+03  1.06726e+10
357  12  3.37045e+01  0.00000e+00 -4.38444e+03 -4.39921e+03  1.23451e+03  1.07026e+10
358  11  5.36582e+01  0.00000e+00 -4.38140e+03 -4.39550e+03  1.26249e+03  1.07326e+10
359  12  4.27555e+01  0.00000e+00 -4.38521e+03 -4.39901e+03  1.23452e+03  1.07625e+10
360  10  2.04036e+01  0.00000e+00 -4.38419e+03 -4.39939e+03  1.23452e+03  1.07925e+10
361   9  1.93551e+01  0.00000e+00 -4.38402e+03 -4.38412e+03  1.24946e+03  1.08225e+10
362  12  6.15551e+01  0.00000e+00 -4.38394e+03 -4.39950e+03  1.23450e+03  1.08525e+10
363  10  3.66378e+01  0.00000e+00 -4.38559e+03 -4.39729e+03  1.23453e+03  1.08825e+10
364   9  1.70207e+01  0.00000e+00 -4.38095e+03 -4.39038e+03  1.29272e+03  1.09124e+10
365   9  4.94764e+01  0.00000e+00 -4.38407e+03 -4.39883e+03  1.23450e+03  1.09424e+10
366  12  3.65331e+01  0.00000e+00 -4.38472e+03 -4.39936e+03  1.23454e+03  1.09724e+10
367  10  7.04192e+01  0.00000e+00 -4.38550e+03 -4.39816e+03  1.23452e+03  1.10024e+10
368  13  7.01452e+01  0.00000e+00 -4.38401e+03 -4.40034e+03  1.23452e+03  1.10324e+10
369  10  3.02542e+01  0.00000e+00 -4.38512e+03 -4.39832e+03  1.14561e+03  1.10623e+10
370   9  4.64680e+01  0.00000e+00 -4.38542e+03 -4.39716e+03  1.23451e+03  1.10923e+10
371  11  3.66022e+01  0.00000e+00 -4.38521e+03 -4.39494e+03  1.15360e+03  1.11223e+10
372  11  6.07976e+01  0.00000e+00 -4.38407e+03 -4.39973e+03  1.23451e+03  1.11523e+10
